,problem,participant,hv
342,eil76_n375_uncorr-similar-weights_09,AM-MBPS,0.9101274374588224
343,eil76_n375_uncorr-similar-weights_10,NDS-BRKGA,0.8477357823921458
344,eil76_n375_uncorr-similar-weights_10,PN-DRLMOA,0.8809034142394397
345,eil76_n375_uncorr-similar-weights_10,AM-DRLMOA,0.9047554483331389
346,eil76_n375_uncorr-similar-weights_10,PN-PHN,0.8803784743431107
347,eil76_n375_uncorr-similar-weights_10,AM-PHN,0.9061935412001116
348,eil76_n375_uncorr-similar-weights_10,PN-MBPS,0.8946920117912458
349,eil76_n375_uncorr-similar-weights_10,AM-MBPS,0.9121864158965227
350,eil76_n375_uncorr_01,NDS-BRKGA,0.8826128209272378
351,eil76_n375_uncorr_01,PN-DRLMOA,0.8495306378720874
352,eil76_n375_uncorr_01,AM-DRLMOA,0.764863035197362
353,eil76_n375_uncorr_01,PN-PHN,0.8224201462657463
354,eil76_n375_uncorr_01,AM-PHN,0.7836103008580964
355,eil76_n375_uncorr_01,PN-MBPS,0.837843863308394
356,eil76_n375_uncorr_01,AM-MBPS,0.8578822437712927
357,eil76_n375_uncorr_02,NDS-BRKGA,0.8875601740495157
358,eil76_n375_uncorr_02,PN-DRLMOA,0.8815110466987917
359,eil76_n375_uncorr_02,AM-DRLMOA,0.8735469025259749
360,eil76_n375_uncorr_02,PN-PHN,0.855082591559603
361,eil76_n375_uncorr_02,AM-PHN,0.8576073069042502
362,eil76_n375_uncorr_02,PN-MBPS,0.8612225841643091
363,eil76_n375_uncorr_02,AM-MBPS,0.8635723391091537
364,eil76_n375_uncorr_03,NDS-BRKGA,0.8854398531377398
365,eil76_n375_uncorr_03,PN-DRLMOA,0.8923962698680946
366,eil76_n375_uncorr_03,AM-DRLMOA,0.883773031909059
